case,index,x,exact,qtt,abs_error
single_scale_1d,33,-0.5000000000000000,0.7788007830714049,0.7788007830716207,0.0000000000002158
single_scale_1d,34,-0.4843750000000000,0.7908720032933764,0.7908720032879873,0.0000000000053890
single_scale_1d,35,-0.4687500000000000,0.8027382667004205,0.8027382666904357,0.0000000000099848
single_scale_1d,36,-0.4531250000000000,0.8143848258829455,0.8143848258715864,0.0000000000113590
single_scale_1d,37,-0.4375000000000000,0.8257970399501007,0.8257970399368949,0.0000000000132058
single_scale_1d,38,-0.4218750000000000,0.8369604048668063,0.8369604048522427,0.0000000000145637
single_scale_1d,39,-0.4062500000000000,0.8478605838869830,0.8478605838760789,0.0000000000109042
single_scale_1d,40,-0.3906250000000000,0.8584834379945899,0.8584834379875584,0.0000000000070315
single_scale_1d,41,-0.3750000000000000,0.8688150562628432,0.8688150562615210,0.0000000000013222
single_scale_1d,42,-0.3593750000000000,0.8788417860410743,0.8788417860458511,0.0000000000047767
single_scale_1d,43,-0.3437500000000000,0.8885502628781267,0.8885502628866502,0.0000000000085235
single_scale_1d,44,-0.3281250000000000,0.8979274400909730,0.8979274401033378,0.0000000000123648
single_scale_1d,45,-0.3125000000000000,0.9069606178873836,0.9069606179009332,0.0000000000135496
single_scale_1d,46,-0.2968750000000000,0.9156374719519708,0.9156374719643819,0.0000000000124112
single_scale_1d,47,-0.2812500000000000,0.9239460814058078,0.9239460814172730,0.0000000000114652
single_scale_1d,48,-0.2656250000000000,0.9318749560510373,0.9318749560563273,0.0000000000052900
single_scale_1d,49,-0.2500000000000000,0.9394130628134758,0.9394130628130311,0.0000000000004448
single_scale_1d,50,-0.2343750000000000,0.9465498512981596,0.9465498512937399,0.0000000000044197
single_scale_1d,51,-0.2187500000000000,0.9532752783750715,0.9532752783647249,0.0000000000103466
single_scale_1d,52,-0.2031250000000000,0.9595798317149223,0.9595798317014307,0.0000000000134917
single_scale_1d,53,-0.1875000000000000,0.9654545521978378,0.9654545521853612,0.0000000000124766
single_scale_1d,54,-0.1718750000000000,0.9708910551210944,0.9708910551127637,0.0000000000083307
single_scale_1d,55,-0.1562500000000000,0.9758815501356588,0.9758815501326356,0.0000000000030232
single_scale_1d,56,-0.1406250000000000,0.9804188598451973,0.9804188598478192,0.0000000000026219
single_scale_1d,57,-0.1250000000000000,0.9844964370054085,0.9844964370124967,0.0000000000070882
single_scale_1d,58,-0.1093750000000000,0.9881083802659980,0.9881083802748420,0.0000000000088440
single_scale_1d,59,-0.0937500000000000,0.9912494484023183,0.9912494484114591,0.0000000000091408
single_scale_1d,60,-0.0781250000000000,0.9939150729886334,0.9939150729930635,0.0000000000044301
single_scale_1d,61,-0.0625000000000000,0.9961013694701175,0.9961013694689087,0.0000000000012088
single_scale_1d,62,-0.0468750000000000,0.9978051465960265,0.9978051465908087,0.0000000000052178
single_scale_1d,63,-0.0312500000000000,0.9990239141819757,0.9990239141750561,0.0000000000069196
single_scale_1d,64,-0.0156250000000000,0.9997558891748972,0.9997558891759792,0.0000000000010820
single_scale_1d,65,0.0000000000000000,1.0000000000000000,1.0000000000005325,0.0000000000005325
single_scale_1d,66,0.0156250000000000,0.9997558891748972,0.9997558891738028,0.0000000000010945
single_scale_1d,67,0.0312500000000000,0.9990239141819757,0.9990239141777406,0.0000000000042351
single_scale_1d,68,0.0468750000000000,0.9978051465960265,0.9978051465903696,0.0000000000056569
single_scale_1d,69,0.0625000000000000,0.9961013694701175,0.9961013694682589,0.0000000000018586
single_scale_1d,70,0.0781250000000000,0.9939150729886334,0.9939150729932458,0.0000000000046124
single_scale_1d,71,0.0937500000000000,0.9912494484023183,0.9912494484100757,0.0000000000077574
single_scale_1d,72,0.1093750000000000,0.9881083802659980,0.9881083802757620,0.0000000000097640
single_scale_1d,73,0.1250000000000000,0.9844964370054085,0.9844964370132487,0.0000000000078403
single_scale_1d,74,0.1406250000000000,0.9804188598451973,0.9804188598482070,0.0000000000030097
single_scale_1d,75,0.1562500000000000,0.9758815501356588,0.9758815501324691,0.0000000000031897
single_scale_1d,76,0.1718750000000000,0.9708910551210944,0.9708910551116906,0.0000000000094038
single_scale_1d,77,0.1875000000000000,0.9654545521978378,0.9654545521847506,0.0000000000130872
single_scale_1d,78,0.2031250000000000,0.9595798317149223,0.9595798317022715,0.0000000000126509
