x_index,y_index,x,y,source_u_periodic,source_v,source_exact,periodic_exact,periodic_qtt,periodic_abs_error,antiperiodic_exact,antiperiodic_qtt,antiperiodic_abs_error,open_exact,open_qtt,open_abs_error
1,64,0,63,63,63,0.4488197828320665,0.3270040536929225,0.3270040536929216,0.0000000000000008,0.3270040536929225,0.3270040536929216,0.0000000000000008,0.3270040536929225,0.3270040536929216,0.0000000000000008
2,1,1,0,1,0,0.6225214254119508,0.6225214254119508,0.6225214254119504,0.0000000000000003,0.6225214254119508,0.6225214254119504,0.0000000000000003,0.6225214254119508,0.6225214254119504,0.0000000000000003
2,2,1,1,2,1,0.6681806729792746,0.7883535434434992,0.7883535434434989,0.0000000000000002,0.7883535434434992,0.7883535434434989,0.0000000000000002,0.7883535434434992,0.7883535434434989,0.0000000000000002
2,3,1,2,3,2,0.7062589647376752,0.9392756384969889,0.9392756384969890,0.0000000000000001,0.9392756384969889,0.9392756384969890,0.0000000000000001,0.9392756384969889,0.9392756384969890,0.0000000000000001
2,4,1,3,4,3,0.7350856292365764,1.0690210033068304,1.0690210033068295,0.0000000000000009,1.0690210033068304,1.0690210033068295,0.0000000000000009,1.0690210033068304,1.0690210033068295,0.0000000000000009
2,5,1,4,5,4,0.7532095199258881,1.1725715870146931,1.1725715870146936,0.0000000000000004,1.1725715870146931,1.1725715870146936,0.0000000000000004,1.1725715870146931,1.1725715870146936,0.0000000000000004
2,6,1,5,6,5,0.7594580885908269,1.2465308651937796,1.2465308651937796,0.0000000000000000,1.2465308651937796,1.2465308651937796,0.0000000000000000,1.2465308651937796,1.2465308651937796,0.0000000000000000
2,7,1,6,7,6,0.7529870304138855,1.2893631742479703,1.2893631742479703,0.0000000000000000,1.2893631742479703,1.2893631742479703,0.0000000000000000,1.2893631742479703,1.2893631742479703,0.0000000000000000
2,8,1,7,8,7,0.7333185486789783,1.3014794109435521,1.3014794109435524,0.0000000000000002,1.3014794109435521,1.3014794109435524,0.0000000000000002,1.3014794109435521,1.3014794109435524,0.0000000000000002
2,9,1,8,9,8,0.7003667125908837,1.2851621649969223,1.2851621649969220,0.0000000000000002,1.2851621649969223,1.2851621649969220,0.0000000000000002,1.2851621649969223,1.2851621649969220,0.0000000000000002
2,10,1,9,10,9,0.6544488663444356,1.2443371124756404,1.2443371124756402,0.0000000000000002,1.2443371124756404,1.2443371124756402,0.0000000000000002,1.2443371124756404,1.2443371124756402,0.0000000000000002
2,11,1,10,11,10,0.5962825729264505,1.1842106659405462,1.1842106659405465,0.0000000000000002,1.1842106659405462,1.1842106659405465,0.0000000000000002,1.1842106659405462,1.1842106659405465,0.0000000000000002
2,12,1,11,12,11,0.5269681220832438,1.1108053204202537,1.1108053204202530,0.0000000000000007,1.1108053204202537,1.1108053204202530,0.0000000000000007,1.1108053204202537,1.1108053204202530,0.0000000000000007
2,13,1,12,13,12,0.4479571775530169,1.0304328677082544,1.0304328677082542,0.0000000000000002,1.0304328677082544,1.0304328677082542,0.0000000000000002,1.0304328677082544,1.0304328677082542,0.0000000000000002
2,14,1,13,14,13,0.3610086631632912,0.9491509237338248,0.9491509237338245,0.0000000000000003,0.9491509237338248,0.9491509237338245,0.0000000000000003,0.9491509237338248,0.9491509237338245,0.0000000000000003
2,15,1,14,15,14,0.2681334706512404,0.8722495715931722,0.8722495715931722,0.0000000000000000,0.8722495715931722,0.8722495715931722,0.0000000000000000,0.8722495715931722,0.8722495715931722,0.0000000000000000
2,16,1,15,16,15,0.1715299955767312,0.8038122500639728,0.8038122500639728,0.0000000000000000,0.8038122500639728,0.8038122500639728,0.0000000000000000,0.8038122500639728,0.8038122500639728,0.0000000000000000
2,17,1,16,17,16,0.0735128552471705,0.7463885450041476,0.7463885450041474,0.0000000000000002,0.7463885450041476,0.7463885450041474,0.0000000000000002,0.7463885450041476,0.7463885450041474,0.0000000000000002
2,18,1,17,18,17,-0.0235625991488352,0.7008068271106285,0.7008068271106286,0.0000000000000001,0.7008068271106285,0.7008068271106286,0.0000000000000001,0.7008068271106285,0.7008068271106286,0.0000000000000001
2,19,1,18,19,18,-0.1173772048850029,0.6661425613834606,0.6661425613834611,0.0000000000000004,0.6661425613834606,0.6661425613834611,0.0000000000000004,0.6661425613834606,0.6661425613834611,0.0000000000000004
2,20,1,19,20,19,-0.2057235193385818,0.6398446356291552,0.6398446356291548,0.0000000000000003,0.6398446356291552,0.6398446356291548,0.0000000000000003,0.6398446356291552,0.6398446356291548,0.0000000000000003
2,21,1,20,21,20,-0.2865771891936684,0.6180083788521945,0.6180083788521946,0.0000000000000001,0.6180083788521945,0.6180083788521946,0.0000000000000001,0.6180083788521945,0.6180083788521946,0.0000000000000001
2,22,1,21,22,21,-0.3581615441705270,0.5957712438895464,0.5957712438895466,0.0000000000000002,0.5957712438895464,0.5957712438895466,0.0000000000000002,0.5957712438895464,0.5957712438895466,0.0000000000000002
2,23,1,22,23,22,-0.4190030601132926,0.5677965061665516,0.5677965061665515,0.0000000000000001,0.5677965061665516,0.5677965061665515,0.0000000000000001,0.5677965061665516,0.5677965061665515,0.0000000000000001
2,24,1,23,24,23,-0.4679756834203113,0.5288026973596254,0.5288026973596256,0.0000000000000002,0.5288026973596254,0.5288026973596256,0.0000000000000002,0.5288026973596254,0.5288026973596256,0.0000000000000002
2,25,1,24,25,24,-0.5043324319317624,0.4740925069110559,0.4740925069110558,0.0000000000000001,0.4740925069110559,0.4740925069110558,0.0000000000000001,0.4740925069110559,0.4740925069110558,0.0000000000000001
2,26,1,25,26,25,-0.5277231702848602,0.4000348894660553,0.4000348894660557,0.0000000000000004,0.4000348894660553,0.4000348894660557,0.0000000000000004,0.4000348894660553,0.4000348894660557,0.0000000000000004
2,27,1,26,27,26,-0.5381979819088009,0.3044581123427744,0.3044581123427749,0.0000000000000004,0.3044581123427744,0.3044581123427749,0.0000000000000004,0.3044581123427744,0.3044581123427749,0.0000000000000004
2,28,1,27,28,27,-0.5361961051853010,0.1869191202917201,0.1869191202917205,0.0000000000000004,0.1869191202917201,0.1869191202917205,0.0000000000000004,0.1869191202917201,0.1869191202917205,0.0000000000000004
2,29,1,28,29,28,-0.5225209469669942,0.0488252270859078,0.0488252270859079,0.0000000000000001,0.0488252270859078,0.0488252270859079,0.0000000000000001,0.0488252270859078,0.0488252270859079,0.0000000000000001
2,30,1,29,30,29,-0.4983022117430433,-0.1066031505533387,-0.1066031505533386,0.0000000000000001,-0.1066031505533387,-0.1066031505533386,0.0000000000000001,-0.1066031505533387,-0.1066031505533386,0.0000000000000001
2,31,1,30,31,30,-0.4649466691856702,-0.2745263156655549,-0.2745263156655548,0.0000000000000001,-0.2745263156655549,-0.2745263156655548,0.0000000000000001,-0.2745263156655549,-0.2745263156655548,0.0000000000000001
2,32,1,31,32,31,-0.4240795080889279,-0.4488197828320663,-0.4488197828320659,0.0000000000000004,-0.4488197828320663,-0.4488197828320659,0.0000000000000004,-0.4488197828320663,-0.4488197828320659,0.0000000000000004
2,33,1,32,33,32,-0.3774785745880494,-0.6225214254119505,-0.6225214254119504,0.0000000000000001,-0.6225214254119505,-0.6225214254119504,0.0000000000000001,-0.6225214254119505,-0.6225214254119504,0.0000000000000001
2,34,1,33,34,33,-0.3270040536929223,-0.7883535434434992,-0.7883535434434989,0.0000000000000002,-0.7883535434434992,-0.7883535434434989,0.0000000000000002,-0.7883535434434992,-0.7883535434434989,0.0000000000000002
2,35,1,34,35,34,-0.2745263156655552,-0.9392756384969885,-0.9392756384969890,0.0000000000000006,-0.9392756384969885,-0.9392756384969890,0.0000000000000006,-0.9392756384969885,-0.9392756384969890,0.0000000000000006
2,36,1,35,36,35,-0.2218547064956325,-1.0690210033068304,-1.0690210033068295,0.0000000000000009,-1.0690210033068304,-1.0690210033068295,0.0000000000000009,-1.0690210033068304,-1.0690210033068295,0.0000000000000009
2,37,1,36,37,36,-0.1706700125853987,-1.1725715870146931,-1.1725715870146936,0.0000000000000004,-1.1725715870146931,-1.1725715870146936,0.0000000000000004,-1.1725715870146931,-1.1725715870146936,0.0000000000000004
2,38,1,37,38,37,-0.1224631757575282,-1.2465308651937794,-1.2465308651937796,0.0000000000000002,-1.2465308651937794,-1.2465308651937796,0.0000000000000002,-1.2465308651937794,-1.2465308651937796,0.0000000000000002
2,39,1,38,39,38,-0.0784825818886599,-1.2893631742479701,-1.2893631742479703,0.0000000000000002,-1.2893631742479701,-1.2893631742479703,0.0000000000000002,-1.2893631742479701,-1.2893631742479703,0.0000000000000002
2,40,1,39,40,39,-0.0396919046837587,-1.3014794109435524,-1.3014794109435524,0.0000000000000000,-1.3014794109435524,-1.3014794109435524,0.0000000000000000,-1.3014794109435524,-1.3014794109435524,0.0000000000000000
2,41,1,40,41,40,-0.0067400685956640,-1.2851621649969218,-1.2851621649969220,0.0000000000000002,-1.2851621649969218,-1.2851621649969220,0.0000000000000002,-1.2851621649969218,-1.2851621649969220,0.0000000000000002
2,42,1,41,42,41,0.0200555821807899,-1.2443371124756408,-1.2443371124756402,0.0000000000000007,-1.2443371124756408,-1.2443371124756402,0.0000000000000007,-1.2443371124756408,-1.2443371124756402,0.0000000000000007
2,43,1,42,43,42,0.0407123399068483,-1.1842106659405462,-1.1842106659405465,0.0000000000000002,-1.1842106659405462,-1.1842106659405465,0.0000000000000002,-1.1842106659405462,-1.1842106659405465,0.0000000000000002
2,44,1,43,44,43,0.0555713852572460,-1.1108053204202537,-1.1108053204202530,0.0000000000000007,-1.1108053204202537,-1.1108053204202530,0.0000000000000007,-1.1108053204202537,-1.1108053204202530,0.0000000000000007
2,45,1,44,45,44,0.0652737451879268,-1.0304328677082548,-1.0304328677082542,0.0000000000000007,-1.0304328677082548,-1.0304328677082542,0.0000000000000007,-1.0304328677082548,-1.0304328677082542,0.0000000000000007
2,46,1,45,46,45,0.0707239859088289,-0.9491509237338245,-0.9491509237338245,0.0000000000000000,-0.9491509237338245,-0.9491509237338245,0.0000000000000000,-0.9491509237338245,-0.9491509237338245,0.0000000000000000
2,47,1,46,47,46,0.0730431486351121,-0.8722495715931726,-0.8722495715931722,0.0000000000000004,-0.8722495715931726,-0.8722495715931722,0.0000000000000004,-0.8722495715931726,-0.8722495715931722,0.0000000000000004
2,48,1,47,48,47,0.0735128552471705,-0.8038122500639726,-0.8038122500639728,0.0000000000000002,-0.8038122500639726,-0.8038122500639728,0.0000000000000002,-0.8038122500639726,-0.8038122500639728,0.0000000000000002
2,49,1,48,49,48,0.0735128552471705,-0.7463885450041479,-0.7463885450041474,0.0000000000000004,-0.7463885450041479,-0.7463885450041474,0.0000000000000004,-0.7463885450041479,-0.7463885450041474,0.0000000000000004
2,50,1,49,50,49,0.0744545411807250,-0.7008068271106287,-0.7008068271106286,0.0000000000000001,-0.7008068271106287,-0.7008068271106286,0.0000000000000001,-0.7008068271106287,-0.7008068271106286,0.0000000000000001
2,51,1,50,51,50,0.0777131171311254,-0.6661425613834604,-0.6661425613834611,0.0000000000000007,-0.6661425613834604,-0.6661425613834611,0.0000000000000007,-0.6661425613834604,-0.6661425613834611,0.0000000000000007
2,52,1,51,52,51,0.0845611579158805,-0.6398446356291549,-0.6398446356291548,0.0000000000000001,-0.6398446356291549,-0.6398446356291548,0.0000000000000001,-0.6398446356291549,-0.6398446356291548,0.0000000000000001
2,53,1,52,53,52,0.0961062431714213,-0.6180083788521941,-0.6180083788521946,0.0000000000000006,-0.6180083788521941,-0.6180083788521946,0.0000000000000006,-0.6180083788521941,-0.6180083788521946,0.0000000000000006
2,54,1,53,54,53,0.1132351926554707,-0.5957712438895465,-0.5957712438895466,0.0000000000000001,-0.5957712438895465,-0.5957712438895466,0.0000000000000001,-0.5957712438895465,-0.5957712438895466,0.0000000000000001
2,55,1,54,55,54,0.1365671729063094,-0.5677965061665512,-0.5677965061665515,0.0000000000000003,-0.5677965061665512,-0.5677965061665515,0.0000000000000003,-0.5677965061665512,-0.5677965061665515,0.0000000000000003
2,56,1,55,56,55,0.1664176007433342,-0.5288026973596256,-0.5288026973596256,0.0000000000000000,-0.5288026973596256,-0.5288026973596256,0.0000000000000000,-0.5288026973596256,-0.5288026973596256,0.0000000000000000
2,57,1,56,57,56,0.2027743492547850,-0.4740925069110565,-0.4740925069110558,0.0000000000000007,-0.4740925069110565,-0.4740925069110558,0.0000000000000007,-0.4740925069110565,-0.4740925069110558,0.0000000000000007
2,58,1,57,58,57,0.2452872830778767,-0.4000348894660554,-0.4000348894660557,0.0000000000000003,-0.4000348894660554,-0.4000348894660557,0.0000000000000003,-0.4000348894660554,-0.4000348894660557,0.0000000000000003
2,59,1,58,59,58,0.2932716303937444,-0.3044581123427745,-0.3044581123427749,0.0000000000000003,-0.3044581123427745,-0.3044581123427749,0.0000000000000003,-0.3044581123427745,-0.3044581123427749,0.0000000000000003
2,60,1,59,60,59,0.3457251591630536,-0.1869191202917206,-0.1869191202917205,0.0000000000000000,-0.1869191202917206,-0.1869191202917205,0.0000000000000000,-0.1869191202917206,-0.1869191202917205,0.0000000000000000
2,61,1,60,61,60,0.4013585855442925,-0.0488252270859081,-0.0488252270859079,0.0000000000000002,-0.0488252270859081,-0.0488252270859079,0.0000000000000002,-0.0488252270859081,-0.0488252270859079,0.0000000000000002
2,62,1,61,62,61,0.4586381239891654,0.1066031505533385,0.1066031505533386,0.0000000000000001,0.1066031505533385,0.1066031505533386,0.0000000000000001,0.1066031505533385,0.1066031505533386,0.0000000000000001
2,63,1,62,63,62,0.5158386112175599,0.2745263156655555,0.2745263156655548,0.0000000000000007,0.2745263156655555,0.2745263156655548,0.0000000000000007,0.2745263156655555,0.2745263156655548,0.0000000000000007
2,64,1,63,0,63,0.5711052185832688,0.4488197828320665,0.4488197828320659,0.0000000000000006,-0.4488197828320665,-0.4488197828320659,0.0000000000000006,0.0000000000000000,0.0000000000000000,0.0000000000000000
3,1,2,0,2,0,0.7438629025201603,0.7438629025201603,0.7438629025201603,0.0000000000000000,0.7438629025201603,0.7438629025201603,0.0000000000000000,0.7438629025201603,0.7438629025201603,0.0000000000000000
